Week,Lec,Day,Date,Lecture subject (ACTUAL),Proposed,Lecture subject,Recitations (Monday prior),Assignment,Assignment released ,Assignment Due,Days for Assignment,Who (see: Gone),Gone
1,1,Tue,Aug-25,Intro + Pitch about AI usage.,Intro + Pitch about AI usage.,,OPTIONAL: Understanding/Setting up OpenCode ,HW1 - (a),"Monday, August 24, 2026","Monday, August 31, 2026",7,,
,2,Thu,Aug-27,Metrics and Measurement,Metrics and Measurement,,,HW1 - (a),"Monday, August 24, 2026","Monday, August 31, 2026",7,,
2,3,Tue,Sep-1,Case Study 737MAX,Case Study 737MAX,,Team Contract Workshop,HW1 - (b),"Monday, August 24, 2026","Monday, September 7, 2026",14,,
,4,Thu,Sep-3,Software Archaeology - sunset,AI Usage/AI for SE,,,HW1 - (b),"Monday, August 24, 2026","Monday, September 7, 2026",14,,
3,5,Tue,Sep-8,Project Planning (+HW 1 retro),Project Planning (+HW 1 retro),,NO RECITATION Labor Day,HW2 - (a),"Tuesday, September 8, 2026","Monday, September 14, 2026",6,,
,6,Thu,Sep-10,"Teams and Communication (slack, user doc)","Teams and Communication (slack, user doc)",,,HW2 - (a),"Tuesday, September 8, 2026","Monday, September 14, 2026",6,,
4,7,Tue,Sep-15,Architecture: Intro and Overview,Requirements? specifications?,,AI tool use,HW2 - (b),"Tuesday, September 8, 2026","Monday, September 28, 2026",20,,
,8,Thu,Sep-17,Architecture: Microservices ,Design Docs,,,HW2 - (b),"Tuesday, September 8, 2026","Monday, September 28, 2026",20,,
5,9,Tue,Sep-22,Design Docs - Activity,Unit Testing I,,Project Presentations,HW2 - (b),"Tuesday, September 8, 2026","Monday, September 28, 2026",20,,
,10,Thu,Sep-24,"Software Testing (Design for Test, Boundry Value Analysis, Testing Principles)",Unit Testing II,,,HW2 - (c),"Tuesday, September 8, 2026","Friday, October 9, 2026",31,,
6,11,Tue,Sep-29,Static Analysis,"Oracles, Input Generation, Fuzz Testing",,Team Dysfunction,HW2 - (c),"Tuesday, September 8, 2026","Friday, October 9, 2026",31,,
,12,Thu,Oct-1,"Dynamic Analysis (Oracles, Input Generation, Fuzz Testing)",PBT I,,,HW2 - (c),"Tuesday, September 8, 2026","Friday, October 9, 2026",31,,
7,13,Tue,Oct-6,Deployment Workshop Game (Robert Chatley),PBT II,,Deployment,HW2 - (c),"Tuesday, September 8, 2026","Friday, October 9, 2026",31,,
,14,Thu,Oct-8,Midterm 1,Midterm1,,,HW2 - (c),"Tuesday, September 8, 2026","Friday, October 9, 2026",31,,
8,,Tue,Oct-13,NO CLASS (Fall Break),,Fall Break,N/A - Fall Break,,,,0,,
,,Thu,Oct-15,,,,,,,,0,,
9,15,Tue,Oct-20,Design Docs - Activity,Microservices/Architecture,"QA: Dynamic Analysis, Automated Testing",S3D Cloud Deployment,HW3 - (a),"Monday, October 19, 2026","Monday, October 26, 2026",7,,
,16,Thu,Oct-22,Vibe Coding,CI ,AI/SE/LLM?,,HW3 - (a),"Monday, October 19, 2026","Monday, October 26, 2026",7,,
10,17,Tue,Oct-27,Guest Lecture: Taya Cohen,Deployment Workshop Game (Robert Chatley),SE with AI,Introduction to Docker,HW3 - (b),"Monday, October 19, 2026","Monday, November 2, 2026",14,,
,18,Thu,Oct-29,PBT,Guest Lecture: Taya Cohen,Usability Engineering,,HW3 - (b),"Monday, October 19, 2026","Monday, November 2, 2026",14,,
11,19,Tue,Nov-3,NO CLASS DEMOCRACY DAY: OLD PBT II + Vibe Analysis,NO CLASS,SE Ethics,Property Based Testing,HW4 - (a),"Monday, November 2, 2026","Monday, November 9, 2026",7,,
,20,Thu,Nov-5,Guest Lecture 1 by Chris M ,Guest Lecture 1 by Chris M ,Guest lecture by Taya: Feedback workshop,,HW4 - (a),"Monday, November 2, 2026","Monday, November 9, 2026",7,,
12,21,Tue,Nov-10,Guest Lecture 2 by Chris M,Guest Lecture 2 by Chris M,LLM Activity?,Open Source Scavenger Hunt,HW4 - (b),"Monday, November 2, 2026","Monday, November 16, 2026",14,,
,22,Thu,Nov-12,Open Source + Licenses + Dependencies,Static Analysis,TBD,,HW4 - (b),"Monday, November 2, 2026","Monday, November 16, 2026",14,,
13,,Tue,Nov-17,Ethics,Ethics,"Open-Source Software: Libraries, Licenses, Patents, etc.",Final Project Check-in ,HW5 - (a1),"Monday, November 16, 2026","Monday, November 23, 2026",7,,
,,Thu,Nov-19,Program Instrumentation,Midterm 2 ,NO CLASS (Spring Carnival),,HW5 - (a1),"Monday, November 16, 2026","Monday, November 23, 2026",7,,
14,23,Tue,Nov-24,"TBD, cancel? optional?",Open Source + Licenses + Dependencies,CLASS CANCELED,Exam 2 prep,HW5 - (a2),"Monday, November 16, 2026","Monday, November 30, 2026",14,,
,24,Thu,Nov-26,NO CLASS THANKSGIVING,NO CLASS THANKSGIVING,Midterm 2 ,,HW5 - (a2),"Monday, November 16, 2026","Monday, November 30, 2026",14,,
15,25,Tue,Dec-1,Jobs + comp,Jobs + comp,Jobs + comp,Office Hours / Practice / Slide Review,HW5 - (bc),"Monday, November 16, 2026","Friday, December 4, 2026",18,,
,26,Thu,Dec-3,Semester Review + AMA,Semester Review + AMA,Semester Review + AMA,,HW5 - (bc) Reflections & Peer Review ,"Monday, November 16, 2026","Friday, December 4, 2026",18,,
FINALS,,,,FINAL,,,,,,,,,
,,,,,,Finals,,,,,,,
