school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,16,U,LE3,T,3,2,services,other,other,father,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,2,4,5,5,7,13,14,14
GP,F,15,R,GT3,T,2,2,other,health,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,5,1,1,4,7,8,8,9
GP,M,18,U,GT3,T,4,2,teacher,other,reputation,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,4,2,2,1,2,1,2,16,15,15
GP,M,16,U,GT3,T,1,1,at_home,other,course,mother,2,1,0,yes,yes,yes,no,no,yes,yes,yes,5,2,3,1,2,2,1,13,13,13
GP,M,19,U,GT3,A,3,3,services,services,home,other,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,3,1,1,4,3,2,12,12,12
GP,M,17,R,LE3,T,3,2,services,at_home,home,father,2,2,0,no,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,13,13,14,14
GP,F,18,R,GT3,T,1,4,at_home,other,other,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,2,3,7,16,16,17
MS,F,18,U,GT3,T,1,2,at_home,other,reputation,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,4,2,1,1,2,9,6,7,8
MS,F,17,U,LE3,T,1,1,at_home,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,2,3,5,2,4,4,4
GP,F,18,R,GT3,T,1,1,other,services,course,father,2,2,3,yes,yes,no,no,yes,yes,yes,yes,5,4,4,1,4,5,2,3,4,5
GP,F,17,U,GT3,T,2,2,at_home,other,reputation,mother,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,18,10,8,8
GP,M,15,U,LE3,A,3,3,other,other,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,yes,5,3,3,3,5,4,17,10,10,8
GP,F,18,R,GT3,T,3,2,other,other,course,father,1,1,0,yes,no,yes,yes,yes,yes,yes,no,4,4,3,3,3,4,5,5,4,5
MS,F,17,R,LE3,T,2,2,other,other,other,mother,4,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,7,8,9,9
GP,M,17,R,GT3,A,3,3,other,other,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,4,5,2,4,5,17,11,11,12
GP,F,19,U,GT3,A,4,3,other,health,home,other,1,3,2,no,yes,no,yes,no,yes,yes,yes,4,1,2,1,2,3,20,13,11,11
GP,F,15,U,GT3,T,2,2,other,services,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,4,4,1,3,5,3,6,9,9
GP,F,15,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,5,4,1,1,2,4,6,4,4
GP,F,16,U,GT3,T,3,4,other,other,course,mother,3,2,1,no,yes,no,yes,yes,no,yes,yes,3,2,5,1,1,4,14,8,9,10
GP,F,16,U,GT3,T,3,3,services,health,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,3,2,1,2,5,3,12,13,13
MS,F,18,U,GT3,A,3,3,health,other,home,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,3,2,2,1,1,5,5,12,10,9
GP,F,19,U,GT3,T,2,1,services,services,course,other,2,3,1,no,yes,no,no,yes,yes,yes,yes,3,5,2,1,2,3,3,11,9,9
GP,F,17,U,GT3,T,2,3,other,other,reputation,father,2,2,1,yes,no,no,no,yes,yes,yes,no,4,4,2,1,1,2,33,6,5,6
GP,M,16,U,GT3,T,2,4,other,at_home,other,mother,3,3,0,no,no,yes,no,yes,yes,yes,no,4,3,3,1,1,4,3,13,15,14
GP,F,15,R,GT3,T,1,1,at_home,other,course,mother,2,3,0,yes,no,yes,no,no,yes,yes,no,5,3,5,2,3,3,6,5,7,6
GP,F,16,U,LE3,T,4,4,teacher,services,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,3,1,12,14,14,14
GP,F,16,U,GT3,A,3,1,services,services,home,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,2,3,3,1,1,4,2,14,14,15
MS,F,18,U,LE3,T,2,3,other,services,home,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,3,2,2,3,2,9,8,8
GP,F,15,R,GT3,T,4,4,services,services,other,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,1,2,4,15,5,4,3
GP,F,16,U,LE3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,2,5,19,7,6,6
GP,M,16,U,GT3,T,3,2,other,other,other,mother,3,1,1,no,no,yes,no,yes,yes,yes,no,3,4,3,1,2,4,6,15,15,14
GP,F,16,U,GT3,T,2,2,services,services,home,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,5,5,3,14,9,9,9
GP,M,16,R,LE3,T,4,4,health,other,home,mother,3,2,0,no,yes,yes,no,no,yes,yes,no,3,4,3,1,1,5,8,15,13,12
GP,F,16,U,LE3,A,3,3,other,other,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,5,2,3,5,7,8,9,11
GP,F,15,R,GT3,T,1,3,at_home,other,home,mother,1,2,3,no,yes,no,no,yes,yes,yes,yes,5,3,5,1,3,4,6,6,8,8
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,1,0,no,yes,no,no,yes,yes,no,no,4,1,3,1,3,5,15,9,10,8
GP,M,17,U,GT3,A,4,3,services,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,5,1,4,3,10,8,7,7
GP,F,19,U,GT3,T,1,1,services,services,course,other,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,1,1,1,3,1,7,7,-2
MS,F,17,R,GT3,T,4,0,teacher,other,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,2,5,5,3,11,9,8
GP,F,16,R,LE3,T,2,2,other,at_home,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,3,5,3,1,1,3,3,9,9,9
GP,F,15,U,LE3,T,4,4,health,other,other,mother,4,2,1,yes,yes,yes,no,no,yes,no,no,5,2,1,1,1,2,0,13,14,15
GP,M,16,U,GT3,T,4,4,services,teacher,course,mother,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,5,2,5,2,24,19,19,19
GP,M,15,U,GT3,T,3,2,at_home,services,course,mother,1,2,0,no,no,yes,yes,no,yes,yes,no,4,3,1,1,1,4,7,12,9,11
GP,F,15,U,GT3,T,1,1,other,teacher,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,4,3,2,2,2,5,9,11,12
GP,M,17,U,GT3,T,2,3,services,at_home,reputation,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,5,3,1,1,3,1,16,15,15
GP,F,16,U,LE3,T,4,4,other,other,home,mother,1,1,3,no,yes,no,yes,no,yes,yes,no,5,4,5,1,2,5,11,7,7,8
GP,F,16,U,LE3,A,4,2,health,other,home,mother,1,1,0,yes,no,yes,no,yes,yes,yes,yes,4,4,4,1,4,1,19,12,9,11
GP,M,17,U,LE3,T,4,3,teacher,services,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,4,3,4,4,4,4,6,11,10,10
GP,F,18,U,GT3,T,1,2,services,at_home,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,2,2,5,1,9,8,-2
GP,F,15,R,GT3,T,1,1,other,services,home,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,1,3,4,6,-2,-2
GP,F,17,U,LE3,T,3,2,services,at_home,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,3,3,4,14,10,10,11
GP,F,17,U,GT3,T,2,1,other,services,reputation,mother,2,2,1,no,no,yes,no,yes,yes,no,no,3,2,4,1,1,5,2,10,10,10
MS,F,17,R,GT3,T,4,3,teacher,services,reputation,father,1,3,0,no,no,no,yes,yes,yes,yes,no,5,4,3,1,3,3,0,11,11,12
