Student ID,Gender,Age,Major,GPA,Extra Curricular,Num Programming Languages,Num Past Internships,Good Candidate
0,F,21,Statistics and Machine Learning,2.83,Sorority,4,1,0
1,M,20,Information Systems,2.89,Fraternity,5,3,0
2,F,20,Math,2.66,Teaching Assistant,3,1,0
3,M,20,Information Systems,2.48,Fraternity,5,0,0
4,F,21,Statistics and Machine Learning,3.3,Sorority,2,1,0
5,F,21,Computer Science,3.54,Volleyball,4,4,1
6,F,21,Business,2.92,Society of Women Engineers,1,2,0
7,F,22,Information Systems,3.48,Teaching Assistant,3,4,1
8,F,18,Electrical and Computer Engineering,3.77,Sorority,4,3,1
9,M,21,Statistics and Machine Learning,2.45,American Football,3,4,0
10,F,21,Electrical and Computer Engineering,3.44,Sorority,1,1,0
11,M,22,Computer Science,2.39,Fraternity,3,1,0
12,F,20,Math,1.33,Student Government,2,2,0
13,F,22,Electrical and Computer Engineering,2.71,Volleyball,2,3,0
14,F,22,Statistics and Machine Learning,3.31,Sorority,5,3,1
15,M,20,Math,3.57,Fraternity,5,4,1
16,M,20,Business,2.8,Men's Basketball,1,3,0
17,M,19,Statistics and Machine Learning,2.17,American Football,3,2,0
18,M,19,Computer Science,2.29,Men's Golf,2,4,0
19,M,20,Information Systems,3.24,Student Government,3,0,1
20,F,21,Business,4.0,Student Theatre,2,2,1
21,F,20,Business,2.66,Women in CS,1,4,0
22,M,22,Information Systems,2.37,Teaching Assistant,5,2,1
23,F,22,Information Systems,2.73,Society of Women Engineers,2,2,0
24,M,20,Statistics and Machine Learning,3.24,American Football,3,4,1
25,M,23,Statistics and Machine Learning,3.25,Men's Golf,3,0,1
26,M,20,Business,1.33,Men's Basketball,1,1,0
27,F,20,Math,1.35,Women in CS,2,0,0
28,M,22,Statistics and Machine Learning,3.03,Men's Golf,4,4,1
29,F,23,Computer Science,1.49,Society of Women Engineers,3,0,0
30,M,23,Math,4.0,Student Theatre,5,1,1
31,F,22,Computer Science,4.0,Buggy,1,4,1
32,M,23,Information Systems,4.0,Men's Basketball,2,1,1
33,M,19,Computer Science,3.12,Student Theatre,3,1,0
34,M,22,Electrical and Computer Engineering,2.0,American Football,2,1,0
35,F,18,Business,3.52,Sorority,3,4,1
36,M,20,Math,3.23,Buggy,3,2,1
37,F,19,Statistics and Machine Learning,2.66,Student Government,4,3,0
